state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Florida,Okeechobee,39642,40044,40412,5457,10324,7696,4684,19.4,36.7,27.3,16.6,7841.0,71.22418342280046,8.775361659539623,2.222272768628878,1.0121917932854152,0.1501228277681739,2.73,20.3743403689294,10649.0,26.351083836484214,4180.0,10.438517630606333,1854.0,4.676857878008174,19.58096094296274
Texas,Winkler,7750,7373,7306,1309,1399,1452,470,28.3,30.2,31.4,10.2,1076.0,59.275439531166754,2.237613212573255,2.7277570591369207,1.21470431539691,0.1491742141715503,2.99,3.58074503547669,1846.0,25.26690391459075,770.0,10.4435101044351,189.0,2.438709677419355,14.59378814593788
Washington,Grant,99427,100440,101311,11830,16807,20439,10828,19.7,28.1,34.1,18.1,11623.0,62.157640351964304,1.3667829258360922,3.4939716374838445,1.7784112033709258,0.2806154064054671,3.06,13.6688764513564,27251.0,26.898362468043945,10493.0,10.447033054559936,3958.0,3.9808100415380125,11.572082835523696
Ohio,Darke,51897,51645,51529,3085,16249,10102,5894,8.7,46.0,28.6,16.7,5295.0,95.03781865720424,1.221402558595574,1.5706415164814642,0.5378653469044729,0.0803062844336539,2.45,33.3967624359682,12442.0,24.14562673446021,5397.0,10.450188788846935,1635.0,3.1504711254985835,10.252686610514086
Oklahoma,McIntosh,18950,19262,19451,1914,6111,4173,1776,13.7,43.7,29.9,12.7,3444.0,69.56194065002356,4.573716439001413,23.664625529910506,0.4851625058878945,0.1365991521431936,2.32,12.372198819386,4864.0,25.006426404812093,2013.0,10.450628179835947,644.0,3.3984168865435356,17.87976326445852
Pennsylvania,Lycoming,114108,113595,113104,7552,30958,22393,19572,9.4,38.5,27.8,24.3,11647.0,88.04569224246153,6.648487317409775,1.7882826334560995,1.1847060681891872,0.1080784483260311,2.37,36.0913484129061,28894.0,25.54639977365964,11872.0,10.451164223777456,1263.0,1.1068461457566516,10.253092125533694
Iowa,Chickasaw,11990,11899,11716,546,3668,2472,1505,6.7,44.8,30.2,18.4,1005.0,93.6944155115776,1.137729348609887,1.1938145981892476,0.3605480330101754,0.1281948561813957,2.29,9.26259449419624,2701.0,23.05394332536702,1244.0,10.454660055466846,587.0,4.8957464553794825,8.446087906546769
North Dakota,Steele,1787,1798,1788,50,321,564,393,3.8,24.2,42.5,29.6,153.0,95.79967689822294,0.7000538502961766,0.9154550350026924,0.3769520732364028,0.5923532579429186,2.14,1.03544722265548,388.0,21.700223713646533,188.0,10.456062291434929,85.0,4.756575265808618,8.509454949944383
Michigan,Sanilac,40502,40604,40657,2918,12480,9333,4340,10.0,42.9,32.1,14.9,5805.0,93.29514508404544,0.8991454596675744,2.1410461076157383,0.4460512724199455,0.0610385951732557,2.37,16.5965684869053,8827.0,21.710898492264555,4247.0,10.459560634420253,402.0,0.9925435780949088,14.296621022559354
Ohio,Clark,135879,135747,134831,10474,34950,30064,17544,11.3,37.6,32.3,18.9,21066.0,82.14806961502451,10.81745332378697,2.3283031337776063,1.051247452773035,0.1672908520129977,2.4,131.532624418752,35217.0,26.119364241161158,14199.0,10.459899666290967,3915.0,2.88123992669949,15.51857499613251
North Carolina,Randolph,144418,145109,146043,16065,34866,32803,16028,16.1,34.9,32.9,16.1,19487.0,78.21244244704481,6.899878904049267,2.5760411337689337,1.7341976260013083,0.066699908692358,2.53,70.5548752774753,35874.0,24.563998274480802,15184.0,10.463858203143843,4491.0,3.1097231647024612,13.42921527954848
