"GEO_ID","NAME","P6_001N","P6_001NA","P6_002N","P6_002NA","P6_003N","P6_003NA","P6_004N","P6_004NA","P6_005N","P6_005NA","P6_006N","P6_006NA","P6_007N","P6_007NA",
"0500000US06045","Mendocino County, California","104376","null","71033","null","1495","null","8003","null","2804","null","451","null","20590","null",
"0500000US06047","Merced County, California","333562","null","150640","null","12600","null","14318","null","24508","null","1897","null","129599","null",
"0500000US06049","Modoc County, California","9541","null","7453","null","162","null","737","null","152","null","83","null","954","null",
"0500000US06051","Mono County, California","14922","null","10854","null","158","null","623","null","336","null","109","null","2842","null",
"0500000US06053","Monterey County, California","522702","null","230765","null","14665","null","22886","null","36583","null","4451","null","213352","null",
"0500000US06055","Napa County, California","160134","null","95673","null","3803","null","5122","null","13607","null","964","null","40965","null",
"0500000US06057","Nevada County, California","113007","null","95389","null","1150","null","4123","null","2946","null","536","null","8863","null",
"0500000US06059","Orange County, California","3662401","null","1804354","null","82258","null","88563","null","792539","null","22306","null","872381","null",
"0500000US06061","Placer County, California","457825","null","335236","null","11922","null","13859","null","47830","null","3473","null","45505","null",
"0500000US06063","Plumas County, California","21869","null","18346","null","317","null","1254","null","398","null","144","null","1410","null",
"0500000US06065","Riverside County, California","2850352","null","1371673","null","197681","null","93396","null","216709","null","18653","null","952240","null",
"0500000US06067","Sacramento County, California","1820139","null","901787","null","197590","null","59382","null","336343","null","31838","null","293199","null",
"0500000US06069","San Benito County, California","76502","null","38015","null","1123","null","3306","null","3640","null","482","null","29936","null",
"0500000US06071","San Bernardino County, California","2567565","null","1115349","null","223454","null","88653","null","216837","null","15629","null","907643","null",
"0500000US06073","San Diego County, California","3860801","null","2118169","null","211886","null","101050","null","516944","null","35912","null","876840","null",
"0500000US06075","San Francisco County, California","969241","null","438710","null","59840","null","18075","null","328095","null","7090","null","117431","null",
"0500000US06077","San Joaquin County, California","902303","null","367408","null","75357","null","30620","null","161869","null","10952","null","256097","null",
"0500000US06079","San Luis Obispo County, California","322996","null","234925","null","7119","null","10192","null","16310","null","1578","null","52872","null",
"0500000US06081","San Mateo County, California","866830","null","385867","null","23803","null","17029","null","259674","null","14239","null","166218","null",
"0500000US06083","Santa Barbara County, California","532597","null","300270","null","11930","null","19749","null","35717","null","2304","null","162627","null",
"0500000US06085","Santa Clara County, California","2163699","null","814420","null","62664","null","48586","null","819560","null","15510","null","402959","null",
"0500000US06087","Santa Cruz County, California","312499","null","197379","null","5955","null","9894","null","19090","null","1536","null","78645","null",
"0500000US06089","Shasta County, California","203165","null","161868","null","4009","null","13127","null","8533","null","1072","null","14556","null",
"0500000US06091","Sierra County, California","3717","null","3060","null","64","null","155","null","76","null","38","null","324","null",
"0500000US06093","Siskiyou County, California","49584","null","38441","null","1009","null","4402","null","1369","null","250","null","4113","null",
"0500000US06095","Solano County, California","528252","null","233035","null","76726","null","16842","null","91344","null","9463","null","100842","null",
"0500000US06097","Sonoma County, California","559789","null","369450","null","13244","null","21377","null","33025","null","4119","null","118574","null",
"0500000US06099","Stanislaus County, California","643490","null","334964","null","22822","null","25520","null","45272","null","7682","null","207230","null",
"0500000US06101","Sutter County, California","113213","null","58393","null","3301","null","5240","null","20274","null","761","null","25244","null",
"0500000US06103","Tehama County, California","74178","null","52425","null","1004","null","4439","null","1617","null","373","null","14320","null",
"0500000US06105","Trinity County, California","17627","null","12938","null","140","null","1204","null","2382","null","91","null","872","null",
"0500000US06107","Tulare County, California","562987","null","268752","null","10101","null","20447","null","22087","null","1756","null","239844","null",
"0500000US06109","Tuolumne County, California","61750","null","49633","null","1430","null","3076","null","1582","null","423","null","5606","null",
"0500000US06111","Ventura County, California","998195","null","566235","null","24420","null","32770","null","83994","null","5078","null","285698","null",
"0500000US06113","Yolo County, California","253151","null","139328","null","9377","null","8582","null","37465","null","2357","null","56042","null",
